serial,UniquePsKey_,PsKey_,TpNum_,TpOrigCSDuid,TpDestCSDuid,TpStartTimeExt,trip_week,weekday,,,TpDateExt,Week,TpDayExt,Mon,Tue,Wed,Thu,Fri,Sat,Sun,WeekDay
1,2,11,1,3520005,3520005,730,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
2,2,11,2,3520005,3520005,1600,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
3,2,11,3,3520005,3520005,1830,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
4,3,14,1,3518001,3520005,1220,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
5,3,14,2,3520005,3518001,2100,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
6,5,17,1,3520005,3520005,1700,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
7,5,17,2,3520005,3520005,2300,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
8,6,19,1,3520005,3520005,920,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
9,6,19,2,3520005,3520005,1630,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
10,6,19,3,3520005,3520005,2100,1,2,,,10/2/2019,1,Wed,0,0,2,0,0,0,0,2
11,7,20,1,3520005,3520005,1000,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
12,7,20,2,3520005,3520005,1030,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
13,12,26,1,3520005,3520005,650,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
14,12,26,2,3520005,3520005,1720,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
15,15,30,1,3519048,3520005,600,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
16,15,30,2,3520005,3520005,1420,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
17,16,31,1,3520005,3520005,1600,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
18,16,31,2,3520005,3520005,1700,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
19,16,31,3,3520005,3520005,1815,1,3,,,10/3/2019,1,Thu,0,0,0,3,0,0,0,3
20,17,32,1,3520005,3520005,1508,1,4,,,10/4/2019,1,Fri,0,0,0,0,4,0,0,4
21,20,36,1,3520005,3520005,900,1,5,,,10/5/2019,1,Sat,0,0,0,0,0,5,0,5
22,20,36,2,3520005,3520005,1600,1,5,,,10/5/2019,1,Sat,0,0,0,0,0,5,0,5
23,22,39,1,3520005,3520005,1800,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
24,22,39,2,3520005,3520005,1930,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
25,28,47,1,3520005,3520005,800,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
26,31,50,1,3518005,3518005,1100,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
27,31,50,2,3518005,3518005,1600,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
28,31,50,3,3518005,3518005,2000,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
29,34,53,1,3520005,3520005,1110,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
30,34,53,2,3520005,3520005,1730,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
31,35,54,1,3520005,3520005,900,2,6,,,10/6/2019,2,Sun,0,0,0,0,0,0,6,6
32,43,63,1,3520005,3520005,800,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
33,43,63,2,3520005,3520005,1600,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
34,44,64,1,3520005,3520005,830,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
35,44,64,2,3520005,3520005,900,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
36,44,64,3,3520005,3520005,920,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
37,44,64,4,3520005,3520005,1430,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
38,44,64,5,3520005,3520005,1800,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
39,46,66,1,3520005,3520005,900,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
40,46,66,2,3520005,3520005,2130,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
41,53,73,1,3520005,3520005,910,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
42,53,73,2,3520005,3520005,1335,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
43,59,80,1,3523008,3520005,600,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
44,59,80,2,3520005,3523008,1635,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
45,59,80,3,3523008,3523008,1900,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
46,60,81,1,3520005,3520005,650,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
47,60,81,2,3520005,3520005,1130,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
48,61,85,1,3518009,3520005,630,2,0,,,10/7/2019,2,Mon,0,0,0,0,0,0,0,0
49,67,93,1,3520005,3520005,1922,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
50,69,96,1,3543017,3520005,455,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
51,69,96,2,3520005,3520005,710,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
52,69,96,3,3520005,3520005,720,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
53,69,96,4,3520005,3520005,815,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
54,69,96,5,3520005,3520005,915,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
55,69,96,6,3520005,3520005,1530,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
56,69,96,7,3520005,3520005,1630,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
57,69,96,8,3520005,3543017,1730,3,0,,,10/14/2019,3,Mon,0,0,0,0,0,0,0,0
58,71,98,1,3520005,3520005,1600,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
59,71,98,2,3520005,3520005,2030,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
60,73,102,1,3520005,3520005,1615,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
61,73,102,2,3520005,3520005,1930,2,1,,,10/8/2019,2,Tue,0,1,0,0,0,0,0,1
62,81,114,1,3520005,3520005,1400,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
63,81,114,2,3520005,3520005,1530,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
64,82,115,1,3519036,3520005,755,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
65,82,115,2,3520005,3519036,1530,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
66,82,115,3,3519036,3519036,1630,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
67,82,115,4,3519036,3519036,2105,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
68,85,118,1,3518001,3520005,1300,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
69,85,118,2,3520005,3518001,1755,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
70,90,123,1,3520005,3519028,400,2,2,,,10/9/2019,2,Wed,0,0,2,0,0,0,0,2
71,93,128,1,3520005,3520005,1857,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
72,96,131,1,3518001,3520005,900,2,3,,,10/10/2019,2,Thu,0,0,0,3,0,0,0,3
73,96,131,2,3520005,3518001,1830,2,3,,,10/10/2019,2,Thu,0,0,0,3,0,0,0,3
74,105,140,1,3520005,3520005,800,2,3,,,10/10/2019,2,Thu,0,0,0,3,0,0,0,3
75,108,145,1,3519048,3520005,725,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
76,108,145,2,3520005,3519048,1810,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
77,114,151,1,3524015,3526043,1000,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
78,117,155,1,3521010,3520005,550,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
79,118,157,1,3520005,3520005,800,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
80,119,158,1,3520005,3520005,630,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
81,119,158,2,3520005,3520005,715,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
82,120,159,1,3520005,3519048,1000,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
83,121,160,1,3521010,3520005,1700,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
84,122,161,1,3520005,3520005,1720,2,4,,,10/11/2019,2,Fri,0,0,0,0,4,0,0,4
85,134,175,1,3520005,3520005,2030,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
86,134,175,2,3520005,3520005,2050,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
87,134,175,3,3520005,3520005,2100,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
88,134,175,4,3520005,3520005,2105,2,5,,,10/12/2019,2,Sat,0,0,0,0,0,5,0,5
